	NC_002127	NC_002128	NC_013362	NC_013363	NC_013369	NC_014543	NZ_CP027600	NZ_CP028124	NZ_CP028125	NZ_CP033091
NC_002127	0.0	1.0	1.0	0.139128	1.0	0.11069	1.0	1.0	1.0	1.0
NC_002128	1.0	0.0	0.110455	1.0	0.0490459	1.0	0.134014	0.0480878	1.0	0.108991
NC_013362	1.0	0.110455	0.0	1.0	0.174048	0.291447	0.144016	0.168318	1.0	0.0677935
NC_013363	0.139128	1.0	1.0	0.0	1.0	0.126375	1.0	1.0	1.0	1.0
NC_013369	1.0	0.0490459	0.174048	1.0	0.0	1.0	0.10857	0.00737682	1.0	0.188197
NC_014543	0.11069	1.0	0.291447	0.126375	1.0	0.0	1.0	1.0	1.0	0.312952
NZ_CP027600	1.0	0.134014	0.144016	1.0	0.10857	1.0	0.0	0.105654	1.0	0.16615
NZ_CP028124	1.0	0.0480878	0.168318	1.0	0.00737682	1.0	0.105654	0.0	0.145341	0.186761
NZ_CP028125	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.145341	0.0	1.0
NZ_CP033091	1.0	0.108991	0.0677935	1.0	0.188197	0.312952	0.16615	0.186761	1.0	0.0
