locus_tag	ftype	length_bp	gene	EC_number	COG	product
GKLDPBFD_00001	CDS	1044	selD	2.7.9.3	COG0709	Selenide, water dikinase
GKLDPBFD_00002	CDS	552	ydjA	1.-.-.-	COG0778	Putative NAD(P)H nitroreductase YdjA
GKLDPBFD_00003	CDS	1857	sppA	3.4.21.-	COG0616	Protease 4
GKLDPBFD_00004	CDS	1017	ansA	3.5.1.1	COG0252	L-asparaginase 1
GKLDPBFD_00005	CDS	642	pncA	3.5.1.19	COG1335	Nicotinamidase
GKLDPBFD_00006	CDS	273				hypothetical protein
GKLDPBFD_00007	CDS	414	msrB	1.8.4.12	COG0229	Peptide methionine sulfoxide reductase MsrB
GKLDPBFD_00008	CDS	996	gapA	1.2.1.12	COG0057	Glyceraldehyde-3-phosphate dehydrogenase A
GKLDPBFD_00009	CDS	885	yeaD	5.1.3.15	COG0676	Putative glucose-6-phosphate 1-epimerase
GKLDPBFD_00010	CDS	855	yvgN	1.1.1.-	COG0656	Glyoxal reductase
GKLDPBFD_00011	CDS	747	mipA_1		COG3713	MltA-interacting protein
GKLDPBFD_00012	CDS	1935				hypothetical protein
GKLDPBFD_00013	CDS	1284				hypothetical protein
GKLDPBFD_00014	CDS	1476	cdgI	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
GKLDPBFD_00015	CDS	1491	dgcJ	2.7.7.65	COG2199	putative diguanylate cyclase DgcJ
GKLDPBFD_00016	CDS	504				hypothetical protein
GKLDPBFD_00017	CDS	447				hypothetical protein
GKLDPBFD_00018	CDS	819	nimR			HTH-type transcriptional regulator NimR
GKLDPBFD_00019	CDS	1182	nimT		COG2807	2-nitroimidazole transporter
GKLDPBFD_00020	CDS	348				hypothetical protein
GKLDPBFD_00021	CDS	255				hypothetical protein
GKLDPBFD_00022	CDS	1026	dgcP	2.7.7.65	COG2203	Diguanylate cyclase DgcP
GKLDPBFD_00023	CDS	249				hypothetical protein
GKLDPBFD_00024	CDS	183	yoaG			Protein YoaG
GKLDPBFD_00025	CDS	360	yeaR		COG3615	putative protein YeaR
GKLDPBFD_00026	CDS	639	leuE		COG1280	Leucine efflux protein
GKLDPBFD_00027	CDS	924	dmlR_1			HTH-type transcriptional regulator DmlR
GKLDPBFD_00028	CDS	1086	dmlA	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
GKLDPBFD_00029	CDS	1611	caiT_1		COG1292	L-carnitine/gamma-butyrobetaine antiporter
GKLDPBFD_00030	CDS	1125	yeaW	1.14.13.239	COG4638	Carnitine monooxygenase oxygenase subunit
GKLDPBFD_00031	CDS	966	yeaX	1.14.13.239	COG1018	Carnitine monooxygenase reductase subunit
GKLDPBFD_00032	CDS	1116	rnd	3.1.13.5	COG0349	Ribonuclease D
GKLDPBFD_00033	CDS	1752	fadD	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
GKLDPBFD_00034	CDS	582	slp		COG3065	Outer membrane protein Slp
GKLDPBFD_00035	CDS	696	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
GKLDPBFD_00036	CDS	1911	yoaA	3.6.4.12	COG1199	putative ATP-dependent DNA helicase YoaA
GKLDPBFD_00037	CDS	348	yabJ	3.5.99.10	COG0251	2-iminobutanoate/2-iminopropanoate deaminase
GKLDPBFD_00038	CDS	300				hypothetical protein
GKLDPBFD_00039	CDS	180				hypothetical protein
GKLDPBFD_00040	CDS	1362	pabB	2.6.1.85	COG0147	Aminodeoxychorismate synthase component 1
GKLDPBFD_00041	CDS	579	nudL	3.6.1.-		putative Nudix hydrolase NudL
GKLDPBFD_00042	CDS	1365	sdaA	4.3.1.17	COG1760	L-serine dehydratase 1
GKLDPBFD_00043	CDS	1599	pdeD	3.1.4.52	COG2200	putative cyclic di-GMP phosphodiesterase PdeD
GKLDPBFD_00044	CDS	1557				hypothetical protein
GKLDPBFD_00045	CDS	210				hypothetical protein
GKLDPBFD_00046	CDS	972	manX_1	2.7.1.191	COG2893	PTS system mannose-specific EIIAB component
GKLDPBFD_00047	CDS	801	manY		COG3715	PTS system mannose-specific EIIC component
GKLDPBFD_00048	CDS	852	manZ_1		COG3716	PTS system mannose-specific EIID component
GKLDPBFD_00049	CDS	459				hypothetical protein
GKLDPBFD_00050	CDS	567	mntP		COG1971	putative manganese efflux pump MntP
GKLDPBFD_00051	CDS	810	rlmA	2.1.1.187	COG0500	23S rRNA (guanine(745)-N(1))-methyltransferase
GKLDPBFD_00052	CDS	210	cspC			Cold shock-like protein CspC
GKLDPBFD_00053	CDS	288				hypothetical protein
GKLDPBFD_00054	CDS	240				hypothetical protein
GKLDPBFD_00055	CDS	792	kdgR		COG1414	Transcriptional regulator KdgR
GKLDPBFD_00056	CDS	1374	ribZ			Riboflavin transporter RibZ
GKLDPBFD_00057	CDS	882	htpX	3.4.24.-	COG0501	Protease HtpX
GKLDPBFD_00058	CDS	2049	prc	3.4.21.102	COG0793	Tail-specific protease
GKLDPBFD_00059	CDS	699	proQ		COG3109	RNA chaperone ProQ
GKLDPBFD_00060	CDS	552	msrC	1.8.4.14	COG1956	Free methionine-R-sulfoxide reductase
GKLDPBFD_00061	CDS	1284	yebS		COG2995	Intermembrane transport protein YebS
GKLDPBFD_00062	CDS	2634	yebT		COG3008	Intermembrane transport protein YebT
GKLDPBFD_00063	CDS	1446	rsmF	2.1.1.178	COG0144	Ribosomal RNA small subunit methyltransferase F
GKLDPBFD_00064	CDS	237	yebV			putative protein YebV
GKLDPBFD_00065	CDS	276				hypothetical protein
GKLDPBFD_00066	CDS	657	pphA	3.1.3.16	COG0639	Serine/threonine-protein phosphatase 1
GKLDPBFD_00067	CDS	342				hypothetical protein
GKLDPBFD_00068	CDS	873	yebZ		COG1276	Inner membrane protein YebZ
GKLDPBFD_00069	CDS	375	yobA		COG2372	Protein YobA
GKLDPBFD_00070	CDS	231	holE	2.7.7.7		DNA polymerase III subunit theta
GKLDPBFD_00071	CDS	657				hypothetical protein
GKLDPBFD_00072	CDS	663	exoX	3.1.11.-	COG0847	Exodeoxyribonuclease 10
GKLDPBFD_00073	CDS	2061	ptrB	3.4.21.83	COG1770	Protease 2
GKLDPBFD_00074	CDS	660	yebE		COG2979	Inner membrane protein YebE
GKLDPBFD_00075	CDS	111				hypothetical protein
GKLDPBFD_00076	CDS	207				hypothetical protein
GKLDPBFD_00077	CDS	357	yebF			Protein YebF
GKLDPBFD_00078	CDS	291				hypothetical protein
GKLDPBFD_00079	CDS	1179	purT	2.1.2.-	COG0027	Formate-dependent phosphoribosylglycinamide formyltransferase
GKLDPBFD_00080	CDS	642	eda		COG0800	KHG/KDPG aldolase
GKLDPBFD_00081	CDS	1812	edd	4.2.1.12	COG0129	Phosphogluconate dehydratase
GKLDPBFD_00082	CDS	1476	zwf	1.1.1.49	COG0364	Glucose-6-phosphate 1-dehydrogenase
GKLDPBFD_00083	CDS	870	hexR		COG1737	HTH-type transcriptional regulator HexR
GKLDPBFD_00084	CDS	1443	pykA	2.7.1.40	COG0469	Pyruvate kinase II
GKLDPBFD_00085	CDS	972	lpxM	2.3.1.243	COG1560	Lipid A biosynthesis myristoyltransferase
GKLDPBFD_00086	CDS	1323	mepM	3.4.24.-	COG0739	Murein DD-endopeptidase MepM
GKLDPBFD_00087	CDS	987	znuA		COG4531	High-affinity zinc uptake system protein ZnuA
GKLDPBFD_00088	CDS	756	znuC	7.2.2.-	COG1121	Zinc import ATP-binding protein ZnuC
GKLDPBFD_00089	CDS	786	znuB		COG1108	High-affinity zinc uptake system membrane protein ZnuB
GKLDPBFD_00090	CDS	1011	ruvB	3.6.4.12	COG2255	Holliday junction ATP-dependent DNA helicase RuvB
GKLDPBFD_00091	CDS	612	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
GKLDPBFD_00092	CDS	603				hypothetical protein
GKLDPBFD_00093	CDS	522	ruvC	3.1.22.4	COG0817	Crossover junction endodeoxyribonuclease RuvC
